id,survey_medium,date,start,end,v1_sex,v2_gen  ,v3_hokkaido,v3_hokkaido_resi,v3_not_hokkaido_resi,v4_hokkaido_visits,v5_companions_cnt,v6_kaminoko_visits,v7_scenery_satisfaction,v7_access_satisfaction,v7_facility_satisfaction,v7_tourist_spot_satisfaction,v7_general_satisfaction,v8_bid1_100,v8_bid1_300,v8_bid1_500,v8_bid1_1000,v8_bid1_yes_bid2_300,v8_bid1_no_bid2_50,8_bid1_yes_bid2_500,v8_bid1_no_bid2_100,8_bid1_yes_bid2_1000,v8_bid1_no_bid2_300,8_bid1_yes_bid2_1500,v8_bid1_no_bid2_500,v8_reason  ,v9_forest_road_entrance_confusing,v9_forest_road_too_narrow,v9_forest_road_rough_surface,v10_toilet_use_intention,v11_dirty_toilet,v11_toilet_odor,v11_no_handwashing_facility,v11_japanese_style_toilet,v11_unisex_toilet,v12_critical_access_attitude,v12_critical_parking_attitude,v12_critical_crowd_attitude,v12_critical_shop_attitude,v12_critical_photospot_attitude
16,紙,6月13日午後,,,2,4,1,釧路市,,,2,2,10,10,10,10,10,,,,0,,,,,,,,1,,7,3,3,1,5,3,3,3,3,3,5,5,3,3
17,紙,6月13日午後,,,1,4,1,釧路,,,2,2,10,8,5,6,7,1,,,,1,,,,,,,,,3,2,2,1,2,2,2,2,2,2,3,2,2,2
18,紙,6月13日午後,,,2,4,2,,東京,4,3,1,7,3,3,2,6,,,1,,,,,,0,,,,6,2,3,3,4,3,2,2,2,2,4,4,1,4,3
19,紙,6月13日午後,,,1,6,2,,東京,4,3,1,6,8,8,6,6,1,,,,1,,,,,,,,,5,3,3,1,5,5,5,7,7,5,5,5,5,6
20,紙,6月13日午後,,,1,6,1,,,,3,3,10,5,8,5,9,,,1,,,,,,0,,,,6,4,5,5,1,4,4,4,1,3,3,3,4,2,4
21,紙,6月13日午後,,,2,6,1,札幌市,,,2,1,10,6,6,8,10,,,,,,,1,,,,,,,3,3,3,1,3,3,3,2,2,4,5,3,3,3
22,紙,6月13日午後,,,1,6,1,札幌市,,,2,1,9,8,4,10,10,,,1,,,,,,1,,,,,5,1,1,2,3,2,2,2,2,3,3,4,2,1
23,紙,6月13日午後,,,2,6,2,,岐阜県,10,2,1,7,8,7,7,7,,,1,,,,,,0,,,,,7,7,2,1,4,4,4,4,4,3,4,1,3,3
24,紙,6月13日午後,,,1,6,1,旭川,,,2,3,10,5,5,10,10,1,,,,1,,,,,,,,,5,2,2,1,4,3,3,3,3,4,4,5,5,5
25,紙,6月13日午後,,,2,6,1,,,,2,1,3,3,3,3,3,,,0,,,,,,,1,,,,2,1,1,1,2,2,2,1,1,2,2,2,1,4
26,紙,6月13日午後,,,2,4,1,網走,,,2,2,9,8,5,9,10,,1,,,,,1,,,,,,,4,3,4,2,3,3,3,3,3,3,4,3,3,4
27,紙,6月13日午後,,,1,4,1,網走,,1,2,1,10,7,9,9,9,,,,0,,,,,,,,0,1,6,2,2,1,2,2,2,2,2,6,4,4,4,5
28,紙,6月13日午後,,,2,7,2,,京都,,2,1,9,8,4,,10,,,1,,,,,,0,1,,,,6,6,1,4,1,3,2,1,1,6,3,4,4,5
29,紙,6月13日午後,,,1,7,2,,京都府,2,2,1,7,10,2,5,8,,,,0,,,,,,,,,6,5,5,5,2,2,3,2,2,3,3,3,2,1,4
30,紙,6月13日午後,,,2,2,1,釧路市,,,2,1,3,3,3,3,3,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,4,4,4,4,4
31,紙,6月13日午後,,,1,3,1,釧路,,,4,3,10,10,10,10,10,,0,,,,,0,,,,,,,4,3,2,1,2,2,2,2,2,3,3,3,3,3
32,紙,6月13日午後,,,1,5,2,,長野県,5,2,1,8,8,8,5,5,,1,,,,,0,,,,,,3,6,6,5,4,5,5,5,5,6,2,3,1,1,3
33,タブレット,6月13日午後,2026-06-13,2026-06-13,男性,60代,道外,,福岡県,はじめて,1人,はじめて,8,8,3,3,9,,支払う,,,,,支払う,,,,,,,あまりそう思わない,そう思う,そう思う,必要があれば利用したい,そう思う,そう思う,そう思う,そう思う,そう思う,損なう,少し損なう,どちらでもない,損なう,少し損なう
34,タブレット,6月13日午後,2026-06-13,2026-06-13,男性,40代,道外,,あいち,2回目,1人,はじめて,7,4,4,5,6,,支払う,,,,,支払わない,,,,,,,そう思う,そう思う,そう思う,必要があれば利用したい,どちらでもない,どちらでもない,,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,あまり損なわない
35,タブレット,6月13日午後,2026-06-13,2026-06-13,男性,70代以上,道外,,京都,20,1人,はじめて,5,8,3,3,4,,,,支払わない,,,,,,,,支払う,,全くそう思わない,ややそう思う,強くそう思う,必要があれば利用したい,どちらでもない,どちらでもない,そう思う,そう思う,強くそう思う,少し損なう,どちらでもない,強く損なう,どちらでもない,強く損なう
36,タブレット,6月13日午後,2026-06-13,2026-06-13,男性,50代,道内,斜里町,,,1人,7,9,9,9,9,9,支払う,,,,支払う,,,,,,,,,そう思わない,そう思う,そう思う,できれば利用したくない,全くそう思わない,全くそう思わない,そう思わない,そう思わない,そう思わない,あまり損なわない,あまり損なわない,損なわない,損なわない,損なわない
